               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.028087,           0.0088376,          0.00034244,             0.92183,             0.91004,             0.93624,             0.51588,            0.035292,           0.0082206,          0.00039764,             0.00406,             0.00406,             0.00406
                  62,            0.028405,           0.0088519,          0.00051265,             0.92485,             0.91908,             0.93668,              0.5127,            0.035204,           0.0081275,          0.00065279,            0.003961,            0.003961,            0.003961
                  63,            0.028245,           0.0091863,          0.00043698,             0.92957,             0.91416,             0.93257,             0.50888,            0.035464,           0.0080948,           0.0004503,            0.003862,            0.003862,            0.003862
                  64,            0.027875,           0.0089089,          0.00047372,             0.92749,             0.91677,             0.93455,             0.51369,            0.035517,           0.0080506,          0.00049645,            0.003763,            0.003763,            0.003763
                  65,            0.027864,             0.00861,          0.00039527,             0.93617,             0.91478,             0.93833,             0.50659,            0.035575,             0.00831,          0.00053987,            0.003664,            0.003664,            0.003664
                  66,            0.028268,           0.0088669,          0.00038917,             0.91874,             0.90878,             0.92875,             0.50768,            0.035704,           0.0082689,          0.00057284,            0.003565,            0.003565,            0.003565
                  67,            0.027562,           0.0087178,          0.00037687,             0.92221,             0.90554,             0.93335,             0.51282,            0.035955,           0.0083208,          0.00040676,            0.003466,            0.003466,            0.003466
                  68,            0.027084,           0.0086406,          0.00040482,             0.94629,             0.91739,             0.94394,               0.516,            0.035354,           0.0082608,          0.00033733,            0.003367,            0.003367,            0.003367
                  69,            0.027264,           0.0086938,          0.00044953,             0.93384,             0.91895,             0.94131,              0.5243,            0.034566,           0.0079743,          0.00050728,            0.003268,            0.003268,            0.003268
                  70,            0.026719,           0.0086773,          0.00042136,             0.93134,              0.9031,             0.93467,             0.52075,            0.035156,           0.0082201,          0.00067053,            0.003169,            0.003169,            0.003169
                  71,            0.026944,           0.0088687,          0.00047906,             0.94059,             0.91667,             0.94572,             0.51186,            0.035815,           0.0081624,          0.00068393,             0.00307,             0.00307,             0.00307
                  72,            0.026975,           0.0086057,          0.00034737,             0.94068,             0.92232,             0.95522,             0.51474,            0.035144,           0.0080962,          0.00043668,            0.002971,            0.002971,            0.002971
                  73,            0.026619,           0.0086625,          0.00045183,              0.9424,             0.92197,             0.94531,             0.51601,            0.035513,           0.0081752,          0.00054084,            0.002872,            0.002872,            0.002872
                  74,            0.026434,           0.0086904,          0.00036773,              0.9508,             0.91188,             0.93921,             0.51075,            0.035003,           0.0081211,          0.00067901,            0.002773,            0.002773,            0.002773
                  75,            0.026425,           0.0084786,          0.00045693,             0.93019,             0.90504,             0.93538,             0.51377,            0.035691,           0.0083896,          0.00079888,            0.002674,            0.002674,            0.002674
                  76,            0.026598,           0.0087288,          0.00037061,             0.93889,             0.90504,             0.93706,             0.51119,            0.035417,           0.0082224,          0.00055017,            0.002575,            0.002575,            0.002575
                  77,            0.026188,           0.0085105,          0.00028622,             0.94167,             0.91579,             0.94141,             0.51806,             0.03526,            0.008221,          0.00044021,            0.002476,            0.002476,            0.002476
                  78,            0.025932,            0.008683,          0.00026996,             0.94567,             0.90683,             0.93504,             0.51708,            0.035765,           0.0083504,          0.00070213,            0.002377,            0.002377,            0.002377
                  79,             0.02588,           0.0084266,          0.00033692,             0.94636,             0.91829,             0.94688,              0.5174,            0.035422,           0.0083466,          0.00058136,            0.002278,            0.002278,            0.002278
                  80,            0.025585,           0.0086959,          0.00026294,             0.94992,             0.90898,             0.93875,              0.5157,            0.035102,           0.0084959,          0.00059503,            0.002179,            0.002179,            0.002179
                  81,            0.025502,           0.0084624,          0.00027255,             0.92635,             0.92225,             0.93195,             0.51535,            0.034807,           0.0083344,          0.00046869,             0.00208,             0.00208,             0.00208
                  82,            0.025785,           0.0083999,           0.0003558,             0.93974,              0.9163,             0.94674,             0.51792,            0.035403,           0.0083451,          0.00076987,            0.001981,            0.001981,            0.001981
                  83,            0.025318,           0.0082777,          0.00035055,             0.93809,             0.92442,              0.9438,             0.52265,            0.035164,           0.0083435,          0.00046402,            0.001882,            0.001882,            0.001882
                  84,            0.025005,           0.0085359,          0.00022265,             0.93621,             0.91681,             0.94011,              0.5222,            0.035094,           0.0084014,          0.00053204,            0.001783,            0.001783,            0.001783
                  85,            0.024814,           0.0083494,          0.00023794,             0.94765,               0.905,             0.93527,             0.51974,            0.035219,           0.0084795,          0.00062323,            0.001684,            0.001684,            0.001684
                  86,            0.024796,           0.0081094,          0.00020234,             0.93622,             0.93411,             0.94425,             0.51612,            0.035295,           0.0083732,          0.00054747,            0.001585,            0.001585,            0.001585
                  87,            0.024805,           0.0081412,           0.0002045,             0.94691,             0.93101,              0.9506,             0.52226,            0.034795,           0.0081837,          0.00053812,            0.001486,            0.001486,            0.001486
                  88,            0.024494,           0.0080641,          0.00036448,             0.95532,              0.9194,             0.94579,             0.52052,            0.035374,           0.0083097,          0.00060811,            0.001387,            0.001387,            0.001387
                  89,            0.024205,           0.0079551,          0.00033918,             0.94423,             0.90698,             0.93059,              0.5189,            0.035446,           0.0084536,           0.0010279,            0.001288,            0.001288,            0.001288
                  90,            0.024143,           0.0081697,          0.00020909,             0.93507,             0.92442,              0.9462,               0.527,            0.034915,           0.0082384,          0.00059678,            0.001189,            0.001189,            0.001189
                  91,            0.024101,           0.0080225,          0.00043033,             0.93532,             0.92442,             0.94436,             0.52712,            0.035012,           0.0082993,          0.00058222,             0.00109,             0.00109,             0.00109
                  92,             0.02428,           0.0080571,          0.00027098,             0.94841,             0.91478,             0.94467,             0.52146,            0.035142,           0.0083171,          0.00058387,            0.000991,            0.000991,            0.000991
                  93,             0.02409,           0.0079677,          0.00020298,             0.95339,             0.92306,             0.94812,             0.52679,            0.034968,           0.0082466,          0.00057671,            0.000892,            0.000892,            0.000892
                  94,             0.02359,           0.0078373,          0.00030287,             0.95143,             0.90783,             0.94446,             0.52583,            0.035216,           0.0083919,          0.00054106,            0.000793,            0.000793,            0.000793
                  95,            0.023674,            0.008139,          0.00020224,             0.95363,             0.91372,             0.94935,             0.52119,            0.035217,           0.0083429,           0.0006068,            0.000694,            0.000694,            0.000694
                  96,            0.023553,           0.0077701,          0.00038401,             0.94958,             0.92251,             0.94926,             0.52486,            0.035039,           0.0083884,          0.00061538,            0.000595,            0.000595,            0.000595
                  97,            0.023588,           0.0079194,          0.00027724,             0.94251,             0.91958,              0.9472,             0.52504,            0.035376,            0.008441,          0.00053764,            0.000496,            0.000496,            0.000496
                  98,            0.023282,           0.0077713,           0.0001588,             0.94086,             0.93023,             0.94989,             0.52723,            0.035408,           0.0084405,          0.00055433,            0.000397,            0.000397,            0.000397
                  99,            0.023285,           0.0079175,           0.0002001,             0.96168,             0.90891,             0.95203,              0.5259,            0.035341,            0.008413,           0.0004977,            0.000298,            0.000298,            0.000298
